   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
45,ΒΟΝΙΤΣΑ,0413Κ013Α0107800,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΒΟΝΙΤΣΑ ΑΙΤΩΛ/ΝΙΑΣΑΝΑΚΤΟΡΙΟΥ,300 02,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΝΑΚΤΟΡΙΟΥ,,26430 22565,Π.ΙΩΑΝΝΟΥ-Χ.ΙΩΑΝΝΟΥ ΟΕ,Π. ΙΩΑΝΝΟΥ-Χ.ΙΩΑΝΝΟΥ Ο.Ε.,1983,49,34
46,ΓΑΛΑΞΙΑΣ,0413Κ013Α0003200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,Γ.ΚΑΖΑΝΤΖΗ 17,301 00,ΑΓΡΙΝΙΟΥ,,,26410 23551,ΞΕΝ/ΚΑΙ κ ΤΟΥΡ. ΕΠΙΧ. ΣΟΥΜΕΛΗ A.E,ΝΙΚ.-ΚΩΝ. -ΚΥΡ. ΣΟΥΜΕΛΗΣ,1967,51,36
47,ΔΡΥΜΩΝΑΣ,0413Κ013Α0111801,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΔΡΥΜΩΝΑΣ - ΘΕΡΜΟΥ-ΑΙΤ/ΝΙΑΣΘΕΡΜΟΥ,30008,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,2644041046,ΚΕΡΑΜΙΔΑΣ ΛΟΥΚΑΣ ΤΟΥ ΙΩΑΝΝΗ,ΚΕΡΑΡΑΜΙΔΑΣ ΛΟΥΚΑΣ ΤΟΥ ΙΩΑΝΝΗ,2009,20,11
48,ΕΛΕΥΘΕΡΙΑ - ΛΙΜΠΕΡΤΥ,0413Κ013Α0001200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 41ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,302 00,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,26310 24560,ΞΕΝ.ΛΙΜΠΕΡΤΥ ΑΕ,ΔΗΜΗΤΡΙΟΣ ΞΗΡΟΣ κ ΓΕΩΡΓΙΟΣ ΖΑΜΠΑΡΑΣ,1969,231,128
49,ΕΣΠΕΡΙΑ,0413Κ013Α0003400,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΧΑΡ.ΤΡΙΚΟΥΠΗ 31ΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,26410 23033-4,ΔΙΟΝΥΣΙΑ ΣΤΡΑΝΟΜΙΤΗ ΑΕ  ΕΣΠΕΡΙΑ,ΔΙΟΝΥΣΙΑ Δ.ΣΤΡΑΝΟΜΙΤΗ - ΜΑΡΙΑ ΧΗΡ.Δ. ΣΤΡΑΝΟΜΙΤΗ,1964,42,26
50,ΖΑΒΕΡΔΑ,0413Κ013Α0113801,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,2643041330,ΖΑΒΕΡΔΑ ΑΕ,ΖΑΒΕΡΔΑ ΑΕ,2010,118,53
51,ΗΛΕΚΤΡΑ,0413Κ013Α0032401,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,2643041409,ΧΡΥΣΟΥΛΗ ΗΛΕΚΤΡΑ,ΧΡΥΣΟΥΛΗ ΗΛΕΚΤΡΑ,2007,36,18
52,ΘΕΟΞΕΝΕΙΑ,0413Κ013Α0001300,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΤΟΥΡΛΙΔΟΣ 2 ΜΕΣΟΛΟΓΓΙ ΑΙΤ/ΝΙΑΣ,302 00,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,,26310 22493,ΑΦΟΙ ΠΑΠΑΧΡΗΣΤΟΥ ΕΠΕ,ΑΦΟΙ ΠΑΠΑΧΡΗΣΤΟΥ ΕΠΕ,1961,203,107
53,ΘΕΡΜΙΟΣ ΑΠΟΛΛΩΝ,0413Κ013Α0004900,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΚΟΥΤΣΟΥΡΟΘΕΡΜΟΥ,300 08,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,26440 24024, ΘΕΡΜΙΟΣ ΑΠΟΛΛΩΝ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ A.E.,ΚΩΝ/ΝΟΣ ΚΟΥΚΟΣ,2001,48,24
54,ΘΕΣΤΙΟΣ,0413Κ013Α0111301,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΒΛΟΧΟΣΘΕΣΤΙΕΩΝ,30003,ΑΓΡΙΝΙΟΥ,ΘΕΣΤΙΕΩΝ,,2641048513,Δ.ΛΑΜΑΡΗΣ & ΣΙΑ ΟΕ,Δ.ΛΑΜΑΡΗΣ & ΣΙΑ ΟΕ,2009,24,12
55,ΝΑΥΠΑΚΤΟΣ - NAFPAKTOS,0413Κ013Α0002400,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΝΑΥΠΑΚΤΟΣ ΑΙΤ/ΝΙΑΣΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,info@hotelnafpaktos.gr,26340/29551,ΔΗΜΗΤΡΙΟΣ ΝΟΥΛΑΣ ΤΟΥΡ/ΚΗ ΑΕ,ΔΗΜΗΤΡΙΟΣ ΝΟΥΛΑΣ ΤΟΥΡ/ΚΗ ΑΕ,1993,102,50
56,ΝΑΥΣ-NAFS,0413Κ013Α0004201,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΘΑΝ. ΝΟΒΑ 33ΝΑΥΠΑΚΤΟΥ,30300,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634038216,ΑΦΟΙ ΠΑΣΙΣΗ Α.Ε.,ΑΦΟΙ ΠΑΣΙΣΗ Α.Ε.,2006,85,42
57,ΠΟΡΤΟ ΠΑΛΜΟΣ,0413Κ013Α0007600,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΒΑΡΚΟΑΝΑΚΤΟΡΙΟΥ,300 12,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΝΑΚΤΟΡΙΟΥ,,26430 41992,ΠΟΡΤΟ ΠΑΛΜΟΣ ΑΕ,ΠΟΡΤΟ ΠΑΛΜΟΣ ΑΕ,1998,60,31
58,ΣΤΡΑΤΟΣ,0413Κ013Α0004600,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΣΤΑΚΟΣ ΑΙΤΩΛ/ΝΙΑΣΑΣΤΑΚΟΥ,300 06,ΞΗΡΟΜΕΡΟΥ,ΑΣΤΑΚΟΥ,,26460 41911-2,ΣΤΡΑΤΟΣ Α.Ξ.Τ.Ε.Ε.,ΣΤΡΑΤΟΣ Α.Ξ.Τ.Ε.Ε.,1980,110,59
59,ΣΩΖΟΣ ΙΝΝ,0413Κ013Α0254101,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,2ο Χ.Μ. Ε.Ο. ΒΟΝΙΤΣΑΣ ΛΕΥΚΑΔΑΣΑΝΑΚΤΟΡΙΟΥ,3002,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΝΑΚΤΟΡΙΟΥ,,2643029009,GLADIO HOLDINGS L.T.D.,ΣΩΖΟΥ ΚΙΚΗ,2008,34,15
60,ΤΑ ΨΗΛΑ ΒΟΥΝΑ,0413Κ013Α0120101,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΛΑΜΠΙΡΙ - ΠΑΡΑΒΟΛΑΣΠΑΡΑΒΟΛΑΣ,30008,ΑΓΡΙΝΙΟΥ,ΠΑΡΑΒΟΛΑΣ,,6947129785,ΠΛΙΑΚΟΥΡΑΣ ΔΗΜΗΤΡΙΟΣ,ΠΛΙΑΚΟΥΡΑΣ ΔΗΜΗΤΡΙΟΣ,2011,20,10
61,ΦΙΛΟΞΕΝΙΑ - FILOXENIA,0413Κ013Α0026001,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,2643042177,ΚΩΤΣΑΚΗΣ ΔΙΟΝΥΣΙΟΣ,ΚΩΤΣΑΚΗΣ ΔΙΟΝΥΣΙΟΣ,2007,36,17
62,ΦΛΟΙΣΒΟΣ,0413Κ013Α0027901,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΝΑΥΠΑΚΤΟΣΝΑΥΠΑΚΤΟΥ,30300,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634024811,ΑΦΟΙ ΑΣΗΜΑΚΟΠΟΥΛΟΙ Ξ.Τ.Ε. Α.Ε.,ΑΦΟΙ ΑΣΗΜΑΚΟΠΟΥΛΟΙ Ξ.Τ.Ε. Α.Ε.,2007,60,27
63,ΑΓΑΠΗ,0413Κ033Α0000800,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΜΕΣΟΛΟΓΓΙ ΑΙΤΩΛ/ΝΙΑΣΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,302 00,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,26310 28801,ΕΛΕΝΗ ΤΣΑΛΑΦΟΥΤΑ,Ε.ΤΣΑΛΑΦΟΥΤΑΣ(ΕΠΙΚ/ΤΗΣ)-Π.ΤΣΑΛΑΦΟΥΤΑ(ΨΙΛ.ΚΥΡ.),1983,26,11
64,ΗΛΙΟΣ,0413Κ033Α0117401,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΠΑΛΑΙΡΟΣ-ΑΤ/ΝΙΑΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,26430-41111,Χ.ΑΜΑΡΙΑΝΟΣ-Δ.ΜΑΝΩΛΑ Ο.Ε.,Χ.ΑΜΑΡΙΑΝΟΣ-Δ.ΜΑΝΩΛΑ Ο.Ε.,2010,44,20
65,ΘΑΛΑΣΣΑ,0413Κ033Α0117201,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,2643041111,Δ.ΜΙΧΟΣ-Α.ΑΜΑΡΙΑΝΟΥ Ο.Ε.,Δ.ΜΙΧΟΣ-Α.ΑΜΑΡΙΑΝΟΥ Ο.Ε.,2010,36,16
66,ΚΑΣΤΡΑΚΙ,0413Κ033Α0037101,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΚΑΣΤΡΑΚΙΣΤΡΑΤΟΥ,30100,ΑΓΡΙΝΙΟΥ,ΣΤΡΑΤΟΥ,,26410-98451,ΡΑΠΤΗ - ΔΟΣΚΑ  ΜΑΡΙΑ,ΡΑΠΤΗ-ΔΟΣΚΑ   ΜΑΡΙΑ,2007,27,13
67,ΚΛΕΟΠΑΤΡΑ,0413Κ033Α0035201,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΧΕΙΜΑΔΙΟ ΚΕΚΡΟΠΕΙΑΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,2643081300,ΚΡΟΚΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ,ΚΟΙΝΩΝΙΑ ΚΛΗΡ.ΓΕΩΡ.ΚΥΡΙΑΚΙΔΗ,2007,21,10
68,ΞΕΝΙΟΣ,0413Κ033Α0001901,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΚΑΤΩ ΧΩΡΑΑΠΟΔΟΤΙΑΣ,30023,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,2634041111,ΒΕΡΓΟΥ ΜΟΣΧΩ,ΒΕΡΓΟΥ ΜΟΣΧΩ,2003,32,13
69,ΣΤΟ ΧΕΙΛΟΣ ΤΟΥ ΚΟΛΠΟΥ,0413Κ033Α0027601,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,30012,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,,ΣΟΛΔΑΤΟΣ ΧΡΗΣ. ΚΑΙ ΣΟΛΔΑΤΟΣ ΕΥΣΤ. ΟΕ,ΣΟΛΔΑΤΟΣ ΧΡΗΣ.ΚΑΙ ΣΟΛΔΑΤΟΣ ΕΥΣΤ.ΟΕ,2005,44,20
70,ΤΑ ΠΕΤΡΙΝΑ ΤΗΣ ΑΝΩ ΧΩΡΑΣ,0413Κ033Α0107701,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΑΝΩ ΧΩΡΑΑΠΟΔΟΤΙΑΣ,30023,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,26340-41101,ΠΑΠΑΔΗΜΗΤΡΙΟΥ & ΤΥΜΗ Ο.Ε., ΔΗΜΗΤΡΙΟΣ ΠΑΠΑΔΗΜΗΤΡΙΟΥ & ΤΥΜΗ ΘΕΟΔΩΡΑ,2008,14,6
71,ΤΑ ΣΠΙΤΑΚΙΑ ΤΗΣ ΙΦΙΓΕΝΕΙΑΣ,0413Κ033Α0114301,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΠΛΑΤΑΝΟΣΠΛΑΤΑΝΟΥ,30022,ΝΑΥΠΑΚΤΙΑΣ,ΠΛΑΤΑΝΟΥ,,2634061500,ΔΑΝΙΑΣ ΑΝΤΩΝΙΟΣ,ΔΑΝΙΑΣ ΑΝΤΩΝΙΟΣ,2010,25,10
72,ΣΟΥΜΕΛΗΣ-SOUMELIS,0413Κ023Α0003800,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου ΜΟΤΕΛ,3Α,ΕΘΝΙΚΗΣ ΟΔΟΥ 3ΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,26410 23473,ΚΑΜΠΙΣΟΥΛΗ ΝΙΚΟΛΕΤΤΑ,ΣΟΥΜΕΛΗΣ ΚΥΡΙΑΚΟΣ κ ΝΙΚΟΛΑΟΣ,1967,36,20
73,ΑΓΡΙΝΙΟ ΙΜΠΕΡΙΑΛ ΧΟΤΕΛ,0413Κ014Α0001701,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΕΘΝΙΚΗ ΟΔΟΣ  ΑΓΡΙΝΙΟΥ-ΑΜΦΙΛΟΧΙΑΣΑΓΡΙΝΙΟΥ,30100,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,2641030034,ΦΛΩΡΟΣ Α.Ε.,ΦΛΩΡΟΣ Α.Ε.,2005,100,59
74,Ο ΕΛΑΙΩΝΑΣ ΤΟΥ ΖΕΛΙΟΥ,0413Κ014Α0026401,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΚΑΤΩ ΚΑΛΑΒΡΟΥΖΑΧΑΛΚΕΙΑΣ,30014,ΝΑΥΠΑΚΤΙΑΣ,ΧΑΛΚΕΙΑΣ,,2634045055,ΑΦΟΙ Β. ΖΕΛΙΟΥ ΚΑΙ ΣΙΑ Ε.Ε.,ΑΦΟΙ Β. ΖΕΛΙΟΥ ΚΑΙ ΣΙΑ Ε.Ε.,2007,20,10
75,ΠΑΛΑΙΡΟΣ ΚΛΑΜΠ,0413Κ014Α0007500,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΠΑΛΑΙΡΟΣΠΑΛΑΙΡΟΥ,300 12,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,26430 41891-3,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ ΑΕ,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ  ΑΕ,1996,365,152
76,ΚΟΡΑΛΙ,0208Κ011Α0090500,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,1Α,ΠΛΑΤΕΙΑ Ν. ΠΛΑΣΤΗΡΑ 11ΡΑΦΗΝΑΣ,190 09,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,ΡΑΦΗΝΑΣ,mail@hotel-corali.gr,22940 22477,ΕΛΕΥΘΕΡΙΑ & ΕΡΙΦΥΛΗ ΦΡΑΓΚΟΥ Ο.Ε.,ΓΕΩΡΓΙΟΣ ΦΡΑΓΚΟΣ,1960,32,16
77,ΜΙΡΑΜΑΡΕ,0208Κ011Α0092100,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,1Α,ΒΑΣ. ΠΑΥΛΟΥ 4ΒΟΥΛΑΣ,166 73,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΟΥΛΑΣ,,210 8958448,ΠΑΝΑΓΙΩΤΗΣ ΤΥΡΟΠΩΛΗΣ,ΜΑΡΙΝΑ ΑΠΟΣΤΟΛΟΠΟΥΛΟΥ,1979,36,20
78,ΑΓΑΜΕΜΝΩΝ,0208Κ012Α0087200,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α, ΚΑΛΑΜΟΣ ΑΤΤΙΚΗΣΚΑΛΑΜΟΥ,190 14,ΩΡΩΠΟΥ,ΚΑΛΑΜΟΥ,,22950 83806,ΕΛΕΝΗ ΠΕΠΠΑ,ΕΛΕΝΗ ΠΕΠΠΑ,1985,40,21
79,ΑΛΚΥΟΝΙΣ,0208Κ012Α0088200,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΡΑΛΙΑ ΜΑΡΚΟΠΟΥΛΟΥΜΑΡΚΟΠΟΥΛΟΥ ΩΡΩΠΟΥ,190 15,ΩΡΩΠΟΥ,ΜΑΡΚΟΠΟΥΛΟΥ ΩΡΩΠΟΥ,info@alkyonis-hotel.gr,22950 32490 - 4,ΑΚΤΗ ΑΜΦΙΑΡΙΟΥ ΞΕΝ. ΤΟΥΡ. ΕΠΙΧ. Α.Ε.,ΑΚΤΗ ΑΜΦΙΑΡΙΟΥ ΞΕΝ. ΤΟΥΡ. ΕΠΙΧ. Α.Ε.,1970,158,86
80,ΑΝΑΣΤΑΖΙΑ,0208Κ012Α0087100,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΡΓΟΝΑΥΤΩΝ & ΚΟΜΝΗΝΩΝ  4ΔΡΟΣΙΑΣ,145 65,ΔΙΟΝΥΣΟΥ,ΔΡΟΣΙΑΣ,,210 8132040,PFP ΤΟΥΡΙΣΤ. & ΨΥΧΑΓ. Ε.Π.Ε.,Μ. ΤΕΧΛΙΚΙΔΗΣ ΞΕΝ. & ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ Α.Ε.,1967,68,36
81,ΑΝΟΙΞΙΣ,0208Κ012Α0086500,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΕΩΦ. ΜΑΡΑΘΩΝΟΣ 17ΑΝΟΙΞΕΩΣ,145 65,ΔΙΟΝΥΣΟΥ,ΑΝΟΙΞΕΩΣ,,210 8140653,ΨΑΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ,ΧΡΗΣΤΟΣ & ΙΩΑΝΝΗΣ ΚΡΟΚΙΔΑΣ,1979,42,22
82,ΓΙΩΡΓΟΣ,0208Κ012Α0185401,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΣΑΜΟΥ & ΚΗΠΟΥΠΟΛΕΩΣ 4-6,136 71,ΑΧΑΡΝΩΝ,,,210 2323587,ΚΑΤΣΙΑΡΑΣ ΓΕΩΡΓΙΟΣ,ΚΑΤΣΙΑΡΑΣ ΓΕΩΡΓΙΟΣ,2009,49,26
83,ΔΗΜΗΤΡΑΣ -,0208Κ012Α0083600,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΔΑΣΚΑΛΙΟΚΕΡΑΤΕΑΣ,190 01,ΛΑΥΡΕΩΤΙΚΗΣ,ΚΕΡΑΤΕΑΣ,,22990 28350,ΘΕΟΔΩΡΟΣ ΒΟΛΗΣ,ΘΕΟΔΩΡΟΣ ΒΟΛΗΣ,1986,76,40
84,ΖΟΡΜΠΑΣ,0208Κ010Γ0087000,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΕΩΦ. ΜΑΡΑΘΩΝΟΣ 5ΔΡΟΣΙΑΣ,145 65,ΔΙΟΝΥΣΟΥ,ΔΡΟΣΙΑΣ,,210 8131236,Μ. ΣΤΑΜΑΤΟΓΙΑΝΝΗ - Φ. ΖΟΡΜΠΑ Ο.Ε.,ΓΕΩΡΓΙΟΣ ΖΟΡΜΠΑΣ,1969,23,12
85,ΗΡΑ,0208Κ012Α0093800,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΙΑΣΩΝΟΣ 1  ΒΟΥΛΙΑΓΜΕΝΗΒΟΥΛΙΑΓΜΕΝΗΣ,166 71,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΟΥΛΙΑΓΜΕΝΗΣ,,210 8960453 - 210 8960321,ΤΑΞΙΑΡΧΗΣ ΛΑΜΠΡΟΥ,ΤΑΞΙΑΡΧΗΣ ΛΑΜΠΡΟΥ,1979,73,38
86,ΚΑΒΑΛΛΑΡΗ -,0208Κ012Α0098500,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΕΩΦ. ΠΑΡΝΗΘΟΣ 332,136 71,ΑΧΑΡΝΩΝ,,,210 2446505- 10,Γ. ΚΑΒΑΛΛΑΡΗΣ - Μ. ΚΑΒΑΛΛΑΡΗ Ε.Ε.,ΚΑΒΑΛΛΑΡΗ ΜΑΡΙΑ,2004,45,21
87,ΚΑΝΟΥΣΗΣ,0208Κ012Α0087700,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙΚΑΛΑΜΟΥ,190 14,ΩΡΩΠΟΥ,ΚΑΛΑΜΟΥ,,[095 62294],ΚΑΝΟΥΣΗΣ ΔΗΜ. & ΣΙΑ Ο.Ε.,ΔΗΜ. ΚΑΝΟΥΣΗΣ - ΓΕΩΡΓΙΟΣ ΚΑΝΟΥΣΗΣ,1997,37,19
88,ΚΥΑΝΗ ΑΚΤΗ,0208Κ012Α0085000,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΕΩΦ. ΑΓ. ΜΑΡΙΝΑΣ 40 ΠΟΡΤΟ ΡΑΦΤΗ,190 03,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,,,22990 86400,ΔΙΟΝΥΣΙΟΣ ΑΥΛΩΝΙΤΗΣ,ΔΙΟΝΥΣΙΟΣ ΑΥΛΩΝΙΤΗΣ,1997,47,25
89,ΜΑΪΑΜΙ,0208Κ012Α0089400,Αττικής,Ανατ. Αττικής,Ξενοδοχείο Κλασικού Τύπου,2Α,"ΚΥΑΝΗΣ ΑΚΤΗΣ 12, ΜΑΤΙΝΕΑΣ ΜΑΚΡΗΣ",190 05,ΜΑΡΑΘΩΝΟΣ,ΝΕΑΣ ΜΑΚΡΗΣ,,22940 34372,ΜΑΡΙΑ ΑΝΑΣΤΑΣΙΟΥ ΦΙΛΙΠΠΟΥ,ΑΝΑΣΤΑΣΙΟΣ ΒΑΣ. ΦΙΛΙΠΠΟΥ,1989,40,21
